stopA,stopB,distance,time,comments
R01,B04,2.4,22,
R01,G15,2.3,21,
R01,G16,1.8,16,
R01,G18,1.5,14,
R01,G19,1.4,13,
R01,G20,1.9,17,
R01,617,3.5,32,
R01,624,3.5,31,
R01,711,2.5,22,
R01,712,2.6,23,
R01,713,2.5,23,
R01,Q05,3.6,32,
R01,Q04,3.9,35,
R03,B04,2.0,18,
R03,B06,2.6,24,
R03,G14,2.5,22,
R03,G15,2.2,19,
R03,G16,1.6,14,
R03,G18,1.2,11,
R03,G19,1.1,10,
R03,G20,1.5,14,
R03,G21,1.7,15,
R03,F09,2.2,20,
R03,G22,2.2,20,
R03,624,3.2,29,
R03,625,3.4,30,
R03,626,3.9,35,
R03,710,2.5,22,
R03,711,2.4,21,
R03,712,2.2,20,
R03,713,2.2,19,
R03,714,2.3,20,
R03,715,2.3,20,
R03,716,2.1,19,
R03,718,1.9,17,
R03,R09,1.9,17,
R03,719,2.2,20,
R03,Q05,3.2,29,
R03,Q04,3.6,32,
R03,Q03,4.1,37,
R04,B04,1.7,15,
R04,B06,2.5,22,
R04,G14,2.2,20,
R04,G15,1.9,17,
R04,G16,1.3,12,
R04,G18,1.0,9,
R04,G19,0.8,7,
R04,G20,1.2,11,
R04,G21,1.4,13,
R04,F09,1.9,17,
R04,G22,1.9,17,
R04,G24,2.2,19,
R04,624,3.5,31,
R04,625,3.7,33,
R04,626,4.2,38,
R04,627,4.3,39,
R04,710,2.2,20,
R04,711,2.1,19,
R04,712,2.0,18,
R04,713,1.9,17,
R04,714,2.0,18,
R04,715,2.0,18,
R04,716,1.8,16,
R04,718,1.6,15,
R04,R09,1.6,15,
R04,719,1.9,17,
R04,Q05,3.5,32,
R04,Q04,3.9,35,
R04,Q03,3.8,35,
R05,B04,1.3,12,
R05,B06,2.0,18,
R05,B08,3.1,28,
R05,G14,2.0,18,
R05,G15,1.7,16,
R05,G16,1.2,11,
R05,G18,0.7,6,
R05,G19,0.5,4,
R05,G20,0.8,8,
R05,G21,1.0,9,
R05,F09,1.5,14,
R05,G22,1.5,14,
R05,G24,1.8,16,
R05,625,4.1,37,
R05,626,4.4,40,
R05,627,3.9,35,
R05,628,3.5,31,
R05,710,2.0,18,
R05,711,2.0,18,
R05,712,1.8,16,
R05,713,1.8,16,
R05,714,1.8,16,
R05,715,1.6,14,
R05,716,1.4,13,
R05,718,1.2,11,
R05,R09,1.2,11,
R05,719,1.5,14,
R05,720,1.9,17,
R05,721,2.0,18,
R05,Q05,3.9,35,
R05,Q04,4.1,37,
R05,Q03,3.4,31,
R06,R11,2.6,23,
R06,B04,0.9,8,
R06,B06,1.7,15,
R06,B08,2.7,24,
R06,G14,2.2,20,
R06,G15,1.9,17,
R06,G16,1.3,12,
R06,G18,1.0,9,
R06,G19,0.6,6,
